Delta(1232),3/2+,****,1232,120
Delta(1600),3/2+,***,1600,350
Delta(1620),1/2-,****,1620,150
Delta(1700),3/2-,****,1700,300
Delta(1750),1/2+,*,1750,300
Delta(1900),1/2-,***,1900,200
Delta(1905),5/2+,****,1905,350
Delta(1910),1/2+,****,1910,250
Delta(1930),5/2-,***,1930,350
Delta(1940),3/2-,*,1940,200
Delta(1950),7/2+,****,1950,300
Delta(2000),5/2+,**,2000,350
Delta(2150),1/2-,*,2150,200
Delta(2200),7/2-,*,2200,400
Delta(2300),9/2+,**,2300,400
Delta(2350),5/2-,*,2350,300
Delta(2390),7/2+,*,2390,300
Delta(2400),9/2-,**,2400,450
Delta(2420),11/2+,****,2420,400
Delta(2750),13/2-,**,2750,400
Delta(2950),15/2+,**,2950,500
